date,market,ticker,name,close,change_pct,volume,status,main_theme,specific_signal,trigger_type,trigger_date,trigger_lag_days,confidence,reasoning,related_stocks,watch_keywords,news_count,body_count,reason_unknown_category,article_origin_dist,latest_article_date,trigger_lag_candidate
20260618,KOSPI,009470,삼화전기,42900,30.0,1936364,new,패시브 부품(MLCC),AI 서버·자율주행 전장 수요 확대 기대에 따른 MLCC 업황 개선 기대,rumor,2026.06.17,1,medium,"6월17일자 다수 시장·특징주 기사에서 'MLCC 업황 호조 기대'와 'AI 서버·자율주행 수요 증가'를 근거로 삼화전기를 MLCC 관련 강세 종목으로 지목했고, 코스피·반도체 랠리 속에서 관련주에 자금이 쏠리며 급등한 것으로 보입니다. 별도 공시나 계약성 뉴스는 확인되지 않아 업황 기대감(섹터 모멘텀)이 표면적 촉매 역할을 한 것으로 판단됩니다.","삼성전기, 우리로","AI 데이터센터 수요, 자율주행 전장 수요, MLCC 업황 개선, 고전압 MLCC, 전력효율화용 콘덴서",11,0,,stock_news:1; search:삼화전기:10,2026-06-18 16:01,-1
20260618,KOSPI,024890,대원화성,3945,29.98,435031,new,수급·공시(자산 재평가),회사 보유 토지(부동산) 가치 상승 기대 → 자산재평가(언론 보도·기업공시 연계),disclosure,2026.06.18,0,medium,6월18일자 기사(머니투데이)에서 ‘회사 땅값이 올랐다’는 보도와 같은 날 기업공시 목록 노출이 겹치며 토지 등 보유자산 재평가 기대가 부각됐다. 여기에 코스피 전반의 강한 장(반도체 중심 랠리)이 맞물려 수급이 집중되며 급등(상한가)으로 이어진 것으로 보인다.,"삼화전기, 삼보산업","자산 재평가, 토지 가치 상승, 기업공시(토지·평가이익), 수급·지수 랠리, 건축·산업용 도료 수요",12,0,,stock_news:3; search:대원화성:9,2026-06-18 16:56,-1
20260618,KOSPI,011230,삼화전자,3740,29.86,3701358,continuation,전자부품/수급(수급·산업 수요),AI 서버·전기차용 전자부품 수요 확대(기관·매체 보도에 따른 수급 탄력),rumor,,0,medium,"이전 분석 재사용 (최초 20260522, 4일째 등장)","아모그린텍, 씨에스윈드","AI 데이터센터, 전기차 파워부품, 전자부품 수요 폭발, 옵티머스 밸류체인, 외인·기관 쌍끌이",14,0,,stock_news:4; search:삼화전자:10,2026-06-18 16:01,-1
20260618,KOSPI,001820,삼화콘덴서,190100,25.56,4148082,new,반도체/전자부품,MLCC·콘덴서 업황 호조에 따른 전기·전자 부품주 동반 강세(시가총액·수급 쏠림) — KOSPI 사상 최고치(9000선) 돌파에 따른 업종 랠리,technical,2026.06.18,0,medium,"당일(6/18) 코스피 사상 최고치(9000선) 돌파와 함께 반도체·전기·전자 부품주, 특히 MLCC 관련주가 강하게 상승한 시장 흐름이 확인된다. 삼화콘덴서는 별도 공시·계약성 자료는 없으나 MLCC/콘덴서 수급·업황 개선 기대와 동종 업종·수급 쏠림에 따른 테마성·기술적 급등으로 판단된다.","삼성전기, 삼화전기, 한울반도체","MLCC 업황 회복, 전기·전자 부품 랠리, MLCC 수요 폭발, KOSPI 9000 돌파, 부품주 외국인 순매수",23,0,,stock_news:15; search:삼화콘덴서:8,2026-06-18 16:54,-1
20260618,KOSPI,009155,삼성전기우,726000,17.67,225331,new,수급/섹터(반도체·전기전자),코스피 사상 최고치·반도체 랠리에 따른 외국인 순매수 집중(반도체·전기전자 부품주 동반 강세),technical,2026.06.18,0,medium,"D-day에 발표된 다수 마감시황 기사들이 코스피 사상 최고치와 반도체·전기전자주의 급등(외국인 순매수)을 핵심 원인으로 지목하고 있어, 개별 호재 없이 섹터·수급 쏠림으로 우선주가 급등한 것으로 판단됩니다. 삼성전기우는 전기전자 부품주로서 반도체·전기전자 랠리의 수혜를 직접적으로 받는 포지션이라 급등이 설명됩니다.","삼성전자, SK하이닉스, LG이노텍","반도체 랠리, 외국인 순매수, 전기전자 강세, 부품주 동반강세, 우선주 프리미엄",15,0,,stock_news:5; search:삼성전기우:10,2026-06-18 16:01,-1
20260618,KOSPI,000890,보해양조,1640,15.25,3246139,new,유통·마케팅 (주류 IP 협업),애니 IP('진격의 거인') 공식 콜라보 한정판 주류 출시 공지,disclosure,2026.06.15,2,high,6월15일 종목 태그 기사에서 회사가 '진격의 거인전 FINAL'과의 협업 한정판 주류를 공개한 점이 직접적 트리거로 보입니다. 이후 6월17일 전시·IP 관련 기사들이 반복 보도되며 전시 개막 기대감과 굿즈 수요가 확산되어 개인투자자 중심의 매수·거래량 급증으로 주가가 크게 올랐습니다.,"하이트진로, 롯데칠성, 무학","IP 협업, 굿즈 마케팅, 진격의 거인 콜라보 한정판, 전시 연계 라이선스 제품, 홍대 전시(진격의 거인展)",11,0,,stock_news:1; search:보해양조:10,2026-06-17 22:00,0
20260618,KOSPI,006805,미래에셋증권우,16930,13.7,397995,new,수급,"3,000억원 규모 자사주 취득 후 전량 소각 결정(우선주에 우호적 효과)",disclosure,2026.06.18,0,high,"회사가 역대 최대 규모인 3,000억원 자사주 매입 및 전량 소각을 결정했다고 복수의 종목태그 기사들이 D-day에 보도했고, 자사주 소각은 유통주식수 감소 및 주당가치(우선주 포함) 개선 기대를 만들어 직접적인 수급 호재가 됐다. 코스피 전반 랠리도 배경이지만 주요 촉매는 회사의 공시성(자사주 취득·소각)이다.","키움증권, NH투자증권","주주환원 정책, 증권주 수급, 자사주 취득·소각, 3000억원 자사주 매입, 우선주 프리미엄",15,0,,stock_news:5; search:미래에셋증권우:10,2026-06-18 11:11,-1
20260618,KOSPI,000500,가온전선,385500,13.05,494417,continuation,수급,무상증자 결정(보통주 1주당 0.8주 신주배정) — 주주가치 제고 및 'AI 전력인프라' 성장성과 성과 공유 명시,disclosure,,0,high,"이전 분석 재사용 (최초 20260512, 7일째 등장)","LS전선, 대한전선","무상증자, AI 전력인프라, 수급 활성화, 보통주 1주당 0.8주, 신주 배정 비율",21,0,,stock_news:13; search:가온전선:8,2026-06-18 15:23,-1
20260618,KOSPI,298000,효성화학,75600,12.17,1274779,new,석유화학(원자재·원가 민감),국제유가(원유) 하락 기대에 따른 나프타 등 원가 개선 기대 및 거래재개(주가 거래 재개) 영향,technical,2026.06.17,0,medium,당일 보도들은 거래 재개 뒤 유가 하락 기대감으로 효성화학 주가가 급등했다고 명시하고 있어(거래재개 + 유가 이슈가 표면적 촉발). 추가로 그룹(HS효성)의 계열분리·지분 관여 관련 기사들이 나오며 투자심리 개선이 겹친 것으로 판단된다.,"효성첨단소재, 대원화성, 삼화전기","석유화학, 유가(원유) 하락, 계열분리·지주 지분확대, 나프타 원가 개선, 거래재개, 첨단소재 지분 30% 돌파",10,0,,search:효성화학:10,2026-06-17 22:00,0
20260618,KOSPI,014910,성문전자,2820,9.94,15625735,continuation,사업구조개편/전략전환,고부가가치 소재로 전환 위한 합작법인 설립 검토 보도,disclosure,,0,medium,"이전 분석 재사용 (최초 20260512, 6일째 등장)","씨에스윈드, 화신","사업구조개편, 고부가가치 소재, 합작법인 설립 검토, 소재사업 전환",11,0,,stock_news:1; search:성문전자:10,2026-06-18 13:37,-1
