date,ticker,name,market,close,change_pct,volume,value_eok,ma5,ma20,ma60,ma120,rsi14,volume_ratio_20d,value_ratio_20d,gap_pct,upper_shadow_pct,close_position_pct,distance_ma20_pct,high_20d_breakout,high_60d_breakout,trend_state,candle_state,pattern,entry_risk,chart_score,comment
20260515,037460,삼지전자,KOSDAQ,49650,29.97,1666646,827.5,39020.0,35232.5,28078.83,22191.0,80.67,7.33,10.62,0.92,0.0,100.0,40.92,True,True,strong_uptrend,strong_close,volume_breakout,extreme,79,거래량을 동반한 돌파형입니다. 60일 신고가를 건드려 수급 집중 신호가 있습니다. 거래량은 20일 평균 대비 7.3배입니다. RSI 80.7로 추격 매수는 부담스럽습니다. 20일선 이격 40.9%라 눌림 확인이 유리합니다. 다음 봉의 저가 이탈 여부를 먼저 보는 편이 안전합니다.
20260515,290690,소룩스,KOSDAQ,5570,29.84,10423759,580.6,3920.0,3757.75,3597.25,3966.0,77.21,15.06,22.45,29.84,0.0,100.0,48.23,True,True,uptrend,strong_close,volume_breakout,extreme,79,거래량을 동반한 돌파형입니다. 60일 신고가를 건드려 수급 집중 신호가 있습니다. 거래량은 20일 평균 대비 15.1배입니다. 20일선 이격 48.2%라 눌림 확인이 유리합니다. 다음 봉의 저가 이탈 여부를 먼저 보는 편이 안전합니다.
20260515,031330,에스에이엠티,KOSDAQ,14300,30.0,6539622,935.2,10576.0,8103.0,6211.5,5140.08,95.24,6.26,10.59,1.82,0.0,100.0,76.48,True,True,strong_uptrend,strong_close,volume_breakout,extreme,73,거래량을 동반한 돌파형입니다. 60일 신고가를 건드려 수급 집중 신호가 있습니다. 거래량은 20일 평균 대비 6.3배입니다. RSI 95.2로 추격 매수는 부담스럽습니다. 20일선 이격 76.5%라 눌림 확인이 유리합니다. 다음 봉의 저가 이탈 여부를 먼저 보는 편이 안전합니다.
20260515,084670,동양고속,KOSPI,65800,17.08,4226180,2780.8,46680.0,40670.0,42775.83,48234.75,82.45,136.78,205.98,17.62,33.7,64.9,61.79,True,True,recovering,gap_up,ma20_recovery,extreme,57,20일선 회복 구간으로 추세 전환 여부를 관찰할 만합니다. 60일 신고가를 건드려 수급 집중 신호가 있습니다. 거래량은 20일 평균 대비 136.8배입니다. RSI 82.5로 추격 매수는 부담스럽습니다. 20일선 이격 61.8%라 눌림 확인이 유리합니다. 다음 봉의 저가 이탈 여부를 먼저 보는 편이 안전합니다.
20260515,000650,천일고속,KOSPI,330500,12.03,643575,2127.0,242240.0,215025.0,229408.33,262528.75,81.58,127.45,171.98,2.88,47.3,52.7,53.7,True,True,recovering,long_upper_shadow,overheated_reversal_risk,extreme,49,과열과 윗꼬리가 겹쳐 단기 되돌림 위험이 큽니다. 60일 신고가를 건드려 수급 집중 신호가 있습니다. 거래량은 20일 평균 대비 127.5배입니다. RSI 81.6로 추격 매수는 부담스럽습니다. 20일선 이격 53.7%라 눌림 확인이 유리합니다. 윗꼬리가 길어 장중 매물 출회를 확인해야 합니다. 다음 봉의 저가 이탈 여부를 먼저 보는 편이 안전합니다.
20260515,002960,한국쉘석유,KOSPI,580000,20.08,68820,399.2,497500.0,496525.0,495700.0,472833.33,75.15,27.59,32.46,-0.41,27.4,72.6,16.81,True,True,strong_uptrend,normal,volume_breakout,high,95,거래량을 동반한 돌파형입니다. 60일 신고가를 건드려 수급 집중 신호가 있습니다. 거래량은 20일 평균 대비 27.6배입니다. 다음 봉의 저가 이탈 여부를 먼저 보는 편이 안전합니다.
20260515,130740,티피씨글로벌,KOSDAQ,2580,29.97,2625391,67.7,2099.0,2115.4,2118.5,2050.98,68.96,39.09,48.55,1.76,0.0,100.0,21.96,True,True,recovering,strong_close,volume_breakout,high,86,거래량을 동반한 돌파형입니다. 60일 신고가를 건드려 수급 집중 신호가 있습니다. 거래량은 20일 평균 대비 39.1배입니다. 20일선 이격 22.0%라 눌림 확인이 유리합니다. 다음 봉의 저가 이탈 여부를 먼저 보는 편이 안전합니다.
20260515,452280,한선엔지니어링,KOSDAQ,28900,19.18,2193871,634.0,22816.0,19987.0,15177.5,12358.92,77.69,2.37,3.41,0.62,7.0,93.0,44.59,True,True,strong_uptrend,strong_close,trend_continuation,high,83,모멘텀은 있으나 추가 확인이 필요한 자리입니다. 60일 신고가를 건드려 수급 집중 신호가 있습니다. 20일선 이격 44.6%라 눌림 확인이 유리합니다. 다음 봉의 저가 이탈 여부를 먼저 보는 편이 안전합니다.
20260515,454910,두산로보틱스,KOSPI,127400,19.29,8437915,10749.9,108480.0,101070.0,94261.67,92117.5,76.62,8.78,10.99,3.56,38.9,61.1,26.05,True,True,strong_uptrend,normal,trend_continuation,high,82,모멘텀은 있으나 추가 확인이 필요한 자리입니다. 60일 신고가를 건드려 수급 집중 신호가 있습니다. 거래량은 20일 평균 대비 8.8배입니다. 20일선 이격 26.1%라 눌림 확인이 유리합니다. 다음 봉의 저가 이탈 여부를 먼저 보는 편이 안전합니다.
20260515,069640,한세엠케이,KOSPI,1613,29.98,1464783,23.6,1350.6,1333.75,1250.48,1272.41,79.58,92.5,116.28,0.64,0.0,100.0,20.94,True,True,uptrend,strong_close,volume_breakout,high,79,거래량을 동반한 돌파형입니다. 60일 신고가를 건드려 수급 집중 신호가 있습니다. 거래량은 20일 평균 대비 92.5배입니다. 20일선 이격 20.9%라 눌림 확인이 유리합니다. 다음 봉의 저가 이탈 여부를 먼저 보는 편이 안전합니다.
