signal_date,ticker,name,market,main_theme,specific_signal,trigger_type,confidence,watch_keywords,chart_score,entry_risk,rsi14,volume_ratio_20d,value_ratio_20d,distance_ma20_pct,upper_shadow_pct,close_position_pct,high_20d_breakout,high_60d_breakout,trend_state,candle_state,pattern,close_on_signal_date,entry_price_next_open,exit_close_1d,exit_close_3d,exit_close_5d,exit_close_10d,return_1d,return_3d,return_5d,return_10d,max_gain_5d,max_drawdown_5d,max_gain_10d,max_drawdown_10d,strategy_eligible,exclusion_reasons,strategy_entry_price,strategy_exit_price,strategy_exit_reason,strategy_exit_date,strategy_return_pct,profitability_score,score_label,score_breakdown,consecutive_days,cluster_size,bars_available,note,reason_unknown_category,article_count,article_origin_dist,latest_article_date,trigger_lag_candidate
20260420,011000,진원생명과학,KOSPI,바이오,,unknown,low,"바이오, 백신 원료의약, CDMO(수탁생산), 수탁생산 계약 규모, 임상시험 승인",,,,,,,,,False,False,,,,973.0,975.0,916.0,865.0,809.0,,-6.05,-11.28,-17.03,,1.74,-18.15,43.59,-19.69,False,"confidence_low, trigger_unknown",,,not_eligible,,,5,avoid,"{""conf_low"": -25, ""trigger_unknown"": -20}",5,1,9,,no_news_in_window,0,,,
20260420,003010,혜인,KOSPI,수급(자사주·주주가치 제고),50억원 규모 자사주 신탁계약 해지로 약 95만주 자사주 반환·확보(총 보유 291만4991주),disclosure,high,"자사주 신탁 해지, 자사주 보유 증가, 주주가치 제고, 거래량 급증, 유통주식수 감소",,,,,,,,,False,False,,,,7020.0,7130.0,7130.0,7130.0,6940.0,,0.0,0.0,-2.66,,5.05,-3.93,17.81,-8.84,True,,7130.0,6940.0,time_exit,20260506,-2.66,72,watch,"{""conf_high"": 12, ""trigger_strong"": 10}",3,1,9,,,2,stock_news:2,2026-04-20 13:40,-1
20260420,000990,DB하이텍,KOSPI,반도체,,unknown,low,"반도체, 아날로그 파운드리, 자동차용 전력관리 IC, 파운드리 수주, 8인치 웨이퍼 가동률",,,,,,,,,False,False,,,,159000.0,159700.0,154700.0,158500.0,162000.0,,-3.13,-0.75,1.44,,5.76,-6.95,24.98,-7.58,False,"confidence_low, trigger_unknown",,,not_eligible,,,5,avoid,"{""conf_low"": -25, ""trigger_unknown"": -20}",3,1,9,,no_news_in_window,0,,,
20260420,010820,퍼스텍,KOSPI,방산,천궁-II 구동장치 독점 공급·유도미사일 핵심부품 수주 잔액 약 1조원(판매단가·매출 프로젝션 포함),disclosure,high,"K-방산 수출 확대, 중동 지정학 리스크, 천궁-II 구동장치 공급가 8000~9000만원, 유도미사일 부품 수주잔액 1조원, 비궁 1만발 공급계약",,,,,,,,,False,False,,,,14280.0,14300.0,13850.0,13500.0,13440.0,,-3.15,-5.59,-6.01,,1.89,-8.32,1.89,-12.52,True,,14300.0,13728.0,stop_loss,20260428,-4.0,72,watch,"{""conf_high"": 12, ""trigger_strong"": 10}",1,1,9,,,13,stock_news:13,2026-04-20 13:40,-1
20260420,012030,DB,KOSPI,수급,공매도 커버링·단기 대량 매수에 따른 기술적 반등 추정,unknown,low,"수급(기관·외국인 매매), 공매도 커버링, 지수 편입/리밸런싱, 대량 블록딜, 장중 호가 급증, 무상증자·배당 기대",,,,,,,,,False,False,,,,2110.0,2120.0,2085.0,2010.0,1957.0,,-1.65,-5.19,-7.69,,3.3,-8.49,15.33,-8.49,False,"confidence_low, trigger_unknown",,,not_eligible,,,5,avoid,"{""conf_low"": -25, ""trigger_unknown"": -20}",1,1,9,,no_news_in_window,0,,,
20260420,003720,삼영,KOSPI,수급,장중 거래량 급증에 따른 단기 수급성 급등(거래상위 종목 매수 집중),unknown,low,"수급(거래량), 장중 매수세, 급등 동반 군집, 거래상위권 매수집중, 단기 거래량 급증",,,,,,,,,False,False,,,,11500.0,11510.0,11120.0,11290.0,12910.0,,-3.39,-1.91,12.16,,19.37,-6.78,21.46,-6.78,False,"confidence_low, trigger_unknown",,,not_eligible,,,5,avoid,"{""conf_low"": -25, ""trigger_unknown"": -20}",1,1,9,,headline_only_generic,1,stock_news:1,2026-04-20 13:40,-1
20260420,005820,원림,KOSPI,수급/기술적 반등,명확한 외부 공시·기사 없이 저유동성 소형주에 대한 소수 주문 또는 공매도 커버·테마성 매수에 따른 단기 급등,unknown,low,"수급, 기술적 반등, 공매도 재개/해제, 저유동성 소형주, 외국인·기관 매수, 대량 주문·급등",,,,,,,,,False,False,,,,16940.0,16940.0,16820.0,17370.0,17200.0,,-0.71,2.54,1.53,,4.37,-2.3,4.37,-6.49,False,"confidence_low, trigger_unknown",,,not_eligible,,,5,avoid,"{""conf_low"": -25, ""trigger_unknown"": -20}",1,1,9,,no_news_in_window,0,,,
20260420,181710,NHN,KOSPI,수급/테크니컬,확인 가능한 공시·언론 트리거 부재로 인한 단기 매수 집중(기관·외국인·프로그램 매매 가능성),unknown,low,"수급(기관·외국인), 핀테크/간편결제, 게임/콘텐츠, PG(결제) 거래액, 클라우드·IDC 매출",,,,,,,,,False,False,,,,41400.0,41650.0,41200.0,41000.0,40900.0,,-1.08,-1.56,-1.8,,3.12,-3.12,3.12,-10.92,False,"confidence_low, trigger_unknown",,,not_eligible,,,5,avoid,"{""conf_low"": -25, ""trigger_unknown"": -20}",1,1,9,,no_news_in_window,0,,,
20260420,007660,이수페타시스,KOSPI,수급,단기 수급(프로그램매매·공매도 커버링·블록딜 등) 중심의 테마성 급등 가능성,unknown,low,"수급, 대량거래, 프로그램매매, 블록딜, 기관 순매수, 공매도",,,,,,,,,False,False,,,,155500.0,155700.0,150600.0,150300.0,151600.0,,-3.28,-3.47,-2.63,,2.63,-8.22,2.63,-20.3,False,"confidence_low, trigger_unknown",,,not_eligible,,,5,avoid,"{""conf_low"": -25, ""trigger_unknown"": -20}",2,1,9,,no_news_in_window,0,,,
20260420,011690,와이투솔루션,KOSPI,바이오연료·사업구조 전환,1분기 매출 최대치 전망(바이오연료 성장) + EPA·EU 정책에 따른 유럽 수출 논의(폐식용유 기반 바이오디젤 수출 타진),earnings,medium,"바이오연료, 환경규제(의무혼합 기준), EPA 의무혼합기준 상향, EU 반덤핑 관세(폐식용유 바이오디젤), 유럽향 폐식용유 기반 바이오디젤 수출",,,,,,,,,False,False,,,,8610.0,8550.0,8020.0,8130.0,8940.0,,-6.2,-4.91,4.56,,15.79,-6.9,15.79,-11.7,True,,8550.0,8208.0,stop_loss,20260428,-4.0,66,watch,"{""conf_medium"": 6, ""trigger_strong"": 10}",1,1,9,,,5,stock_news:5,2026-04-20 08:32,-1
20260420,189330,씨이랩,KOSDAQ,AI 인프라,NPN(NVIDIA Partner Network) 'NVIDIA Enterprise Software Competency' 부문 최고 등급 엘리트 승격,disclosure,high,"AI 인프라, NVIDIA 파트너 생태계, 디지털트윈, NPN 엘리트 승격, AstraGo GPU 자원 관리",,,,,,,,,False,False,,,,6960.0,6960.0,6670.0,6620.0,7260.0,,-4.17,-4.89,4.31,,7.76,-9.34,29.31,-9.34,True,,6960.0,6681.6,stop_loss,20260428,-4.0,72,watch,"{""conf_high"": 12, ""trigger_strong"": 10}",3,1,9,,,4,stock_news:4,2026-04-20 10:19,-1
20260420,131760,파인텍,KOSDAQ,보안·양자암호(양자컴퓨팅 연계),엔비디아 '아이싱(Ising)' 공개 및 앤트로픽 '클로드 미토스' 관련 AI 해킹 우려로 양자암호(PQC/QRNG) 수요·테마 재점화,rumor,medium,"양자컴퓨팅, 양자암호, AI 해킹 리스크, 아이싱 오류정정, 클로드 미토스 취약점, PQC/QRNG",,,,,,,,,False,False,,,,1122.0,1151.0,1036.0,1036.0,1036.0,,-9.99,-9.99,-9.99,,3.56,-100.0,3.56,-100.0,True,,1151.0,1104.96,stop_loss,20260428,-4.0,56,neutral,"{""conf_medium"": 6}",1,1,9,,,12,stock_news:12,2026-04-20 17:40,-1
