date,market,ticker,name,close,change_pct,volume,status,main_theme,specific_signal,trigger_type,trigger_date,trigger_lag_days,confidence,reasoning,related_stocks,watch_keywords,news_count
20260512,KOSPI,003060,에이프로젠바이오로직스,3770,30.0,1041396,new,바이오,퇴행성관절염 신약 승인 기대,rumor,2026.05.12,0,high,에이프로젠바이오로직스의 퇴행성관절염 신약의 승인이 기대된다는 뉴스가 발표된 후 주가가 급등한 것으로 보인다. 특히 '8월초 환자 투약 예정'이라는 구체적인 일정이 투자자들에게 긍정적으로 작용했을 가능성이 높다.,,"퇴행성관절염 신약, 에이프로젠 승인",15
20260512,KOSPI,007460,에이프로젠,5200,30.0,6130978,new,바이오,퇴행성관절염 신약 AP209 8월초 환자 투약 예정,disclosure,2026.05.12,0,high,"에이프로젠의 퇴행성관절염 신약인 AP209가 오는 8월초에 환자 투약을 예정하고 있다는 소식이 5월 12일에 발표되면서 주가에 긍정적인 영향을 미쳤다. 특히, 임상 3상 생략에 대한 FDA 및 EMA 승인을 받았다는 이전 소식들로 인해 신약 개발에 대한 기대감이 증대된 상황이다.",,"퇴행성관절염 신약 AP209, 임상 3상 생략 승인",24
20260512,KOSPI,014910,성문전자,2535,30.0,7470073,unclear,수급,성문전자가 코스피 거래상위에 오르며 상한가 도달,technical,2026.05.12,0,low,성문전자가 코스피 거래상위에 오르며 투자자들의 기술적 매매와 수급 요인으로 상한가에 도달한 것으로 추정됩니다. 이는 특정 호재나 뉴스 없이 주식시장 내 다른 종목과의 기술적 수급 요인으로 인해 발생한 급등으로 보입니다.,계양전기,"코스피 거래상위, 기술적 수급",11
20260512,KOSPI,014915,성문전자우,5850,30.0,125131,unclear,unknown,알 수 없음,unknown,,0,low,"제공된 뉴스 데이터에서 성문전자우의 급등에 대한 명확한 원인을 제공하지 않습니다. 관련 주식의 거래 중지 소식이나 다른 기업의 기술력 확보 소식 등이 있으나, 이는 성문전자우와 직접적인 연관성을 찾기 어렵습니다. 따라서, 이번 급등은 명확한 뉴스에 기반한 것이라기보다는 테마성 또는 기술적 요인의 영향일 가능성이 높습니다.",,"거래정지 예고, 시장 테마성 움직임",4
20260512,KOSPI,012205,계양전기우,17570,29.96,240596,new,수급,우선주 인기 상승 및 관련 투자자 관심 증대,technical,2026.05.11,0,medium,"계양전기우의 상승은 코스피 지수의 빠른 상승과 함께 우선주에 대한 투자자 관심 증가에 따른 것으로 보입니다. 특히, 우선주의 경우 시장의 변동성과 관련된 기술적 요인에 따라 급등한 것으로 판단됩니다. 이와 동시에, 투자경고종목 지정 예고가 영향을 미쳤을 가능성도 있습니다.",,"우선주 투자자 관심, 투자경고종목 지정",14
20260512,KOSPI,012200,계양전기,10990,29.91,17550918,unclear,테마성,주가 상한가 및 거래량 급증,rumor,,0,low,"최근 뉴스에서는 계양전기에 대한 직접적인 실적 개선 혹은 계약 체결 소식이 없었습니다. 다만, 5월 12일에 주가가 상한가에 도달했다는 보도와 함께 거래량이 크게 증가한 것은 주식 시장 내에서의 테마성 반응으로 해석될 수 있습니다.",,"계양전기 주가 급등, 계양전기 거래량 증가",14
20260512,KOSPI,005257,녹십자홀딩스2우,27000,19.73,3091,new,바이오,자회사 메이드사이언티픽의 세포치료제 상업화 이슈,rumor,2026.05.08,3,medium,녹십자홀딩스2우의 급등은 자회사 메이드사이언티픽이 세포치료제 상업화 관련 이사회 강화를 발표한 것과 관련이 있을 가능성이 있다. 이는 바이오테크 업계에서 중요한 진전으로 시장의 긍정적인 기대를 반영한 것으로 보인다.,,"메이드사이언티픽 세포치료제, 바이오 상업화",7
20260512,KOSPI,005250,녹십자홀딩스,15750,19.68,1671775,new,바이오,아티바 NK세포치료제 임상 3상 진입 및 3억 달러 조달,contract,2026.05.11,1,high,넥서비스의 미국 관계사 아티바가 NK세포치료제의 임상 3상에 진입하고 3억 달러의 대규모 자금을 조달했다는 소식이 주요한 상승 트리거로 작용한 것으로 보인다. 이는 회사의 성장 가능성과 글로벌 시장 진출에 대한 기대를 높이며 투자를 이끌어낸 것으로 보인다.,GC녹십자,"NK세포치료제, 임상 3상, 아티바, 3억 달러 조달",27
20260512,KOSPI,066570,LG전자,184900,18.0,9802169,new,실적,1분기 깜짝 실적 및 로봇 사업 확장 가시화,earnings,2026.05.12,0,high,LG전자는 1분기 깜짝 실적과 함께 로봇 사업 확장 기대감으로 주가가 급등했다. 특히 '소요한남'에 시니어 맞춤형 솔루션 공급이 주목받으면서 로봇과 AI 분야에 대한 기대감을 높였다.,"LG이노텍, LG화학","로봇 사업 확장, 시니어 맞춤형 솔루션",20
20260512,KOSPI,007610,선도전기,15110,17.4,28439610,new,실적,흑자 전환 및 경영 정상화 발표,earnings,2026.04.30,12,medium,"선도전기는 4월 30일, 흑자 전환과 경영 정상화 발표를 통해 주가 상승을 견인했습니다. 이후 전력설비와 에너지 대전환 테마와 맞물려 투자자들의 관심이 지속적으로 증가한 것으로 보입니다.",,"경영 정상화, 흑자 전환, 전력설비",30
